,model,mean Correlation,K,Train,Test
0,Top 3,0.3578118153468952,3,AIforCovid,AIforCovid
1,Top 5,0.3069669823234973,5,AIforCovid,AIforCovid
2,Top 7,0.3584055514351269,7,AIforCovid,AIforCovid
3,Top 9,0.3947863006706852,9,AIforCovid,AIforCovid
4,Top 11,0.4129807123276866,11,AIforCovid,AIforCovid
5,Top 13,0.4254762189816115,13,AIforCovid,AIforCovid
6,Top 15,0.4396431395914822,15,AIforCovid,AIforCovid
7,Top 17,0.4546334578160967,17,AIforCovid,AIforCovid
8,Top 19,0.4701986443467223,19,AIforCovid,AIforCovid
0,Top 3,0.758523130740725,3,AIforCovid,COVIDX
1,Top 5,0.7626781743613295,5,AIforCovid,COVIDX
2,Top 7,0.7495956759930016,7,AIforCovid,COVIDX
3,Top 9,0.7490133107937393,9,AIforCovid,COVIDX
4,Top 11,0.7571256420663824,11,AIforCovid,COVIDX
5,Top 13,0.7630543460587368,13,AIforCovid,COVIDX
6,Top 15,0.7574420739285136,15,AIforCovid,COVIDX
7,Top 17,0.7587239814192219,17,AIforCovid,COVIDX
8,Top 19,0.75951705987228,19,AIforCovid,COVIDX
0,Top 3,0.4374903919586008,3,AIforCovid,Brixia
1,Top 5,0.4693962958705361,5,AIforCovid,Brixia
2,Top 7,0.4432247792930996,7,AIforCovid,Brixia
3,Top 9,0.443252109884642,9,AIforCovid,Brixia
4,Top 11,0.439290131613126,11,AIforCovid,Brixia
5,Top 13,0.4411778011443769,13,AIforCovid,Brixia
6,Top 15,0.4479452941447798,15,AIforCovid,Brixia
7,Top 17,0.45232036399392,17,AIforCovid,Brixia
8,Top 19,0.4620570548368686,19,AIforCovid,Brixia
0,Top 3,0.7635859765361662,3,COVIDX,COVIDX
1,Top 5,0.7582700880140951,5,COVIDX,COVIDX
2,Top 7,0.744581303072991,7,COVIDX,COVIDX
3,Top 9,0.7302086737576207,9,COVIDX,COVIDX
4,Top 11,0.7255017589512824,11,COVIDX,COVIDX
5,Top 13,0.7247189867704846,13,COVIDX,COVIDX
6,Top 15,0.72711701496749,15,COVIDX,COVIDX
7,Top 17,0.7049649073325258,17,COVIDX,COVIDX
8,Top 19,0.6934264727260275,19,COVIDX,COVIDX
0,Top 3,0.5794780236095584,3,COVIDX,AIforCovid
1,Top 5,0.6019917734307637,5,COVIDX,AIforCovid
2,Top 7,0.6070065346896625,7,COVIDX,AIforCovid
3,Top 9,0.6103200176568904,9,COVIDX,AIforCovid
4,Top 11,0.6158591195355405,11,COVIDX,AIforCovid
5,Top 13,0.6191521559504833,13,COVIDX,AIforCovid
6,Top 15,0.615759126888711,15,COVIDX,AIforCovid
7,Top 17,0.6162111494226769,17,COVIDX,AIforCovid
8,Top 19,0.6110618596555337,19,COVIDX,AIforCovid
0,Top 3,0.5892456064268188,3,COVIDX,Brixia
1,Top 5,0.4680411637947908,5,COVIDX,Brixia
2,Top 7,0.5001749328621109,7,COVIDX,Brixia
3,Top 9,0.4904561333567308,9,COVIDX,Brixia
4,Top 11,0.5112010529833991,11,COVIDX,Brixia
5,Top 13,0.5106615915798927,13,COVIDX,Brixia
6,Top 15,0.4819638615382307,15,COVIDX,Brixia
7,Top 17,0.4786485611893736,17,COVIDX,Brixia
8,Top 19,0.4702067715048159,19,COVIDX,Brixia
