,model,mean Disagreement,K,Train,Test
0,Top 3,0.02914389799635701,3,AIforCovid,AIforCovid
1,Top 5,0.03825136612021859,5,AIforCovid,AIforCovid
2,Top 7,0.039032006245121,7,AIforCovid,AIforCovid
3,Top 9,0.03916211293260475,9,AIforCovid,AIforCovid
4,Top 11,0.04073522106308993,11,AIforCovid,AIforCovid
5,Top 13,0.04245481294661622,13,AIforCovid,AIforCovid
6,Top 15,0.04444444444444443,15,AIforCovid,AIforCovid
7,Top 17,0.04580520732883315,17,AIforCovid,AIforCovid
8,Top 19,0.04748665835809921,19,AIforCovid,AIforCovid
0,Top 3,0.06879164415631189,3,AIforCovid,COVIDX
1,Top 5,0.0655861696380335,5,AIforCovid,COVIDX
2,Top 7,0.0720331352422114,7,AIforCovid,COVIDX
3,Top 9,0.07296356323908997,9,AIforCovid,COVIDX
4,Top 11,0.07052698786896516,11,AIforCovid,COVIDX
5,Top 13,0.06933189267062846,13,AIforCovid,COVIDX
6,Top 15,0.07265056211571609,15,AIforCovid,COVIDX
7,Top 17,0.07233768710077221,17,AIforCovid,COVIDX
8,Top 19,0.07325264358446985,19,AIforCovid,COVIDX
0,Top 3,0.1064962726304579,3,AIforCovid,Brixia
1,Top 5,0.08268370607028755,5,AIforCovid,Brixia
2,Top 7,0.1164967797555657,7,AIforCovid,Brixia
3,Top 9,0.1161756005206485,9,AIforCovid,Brixia
4,Top 11,0.120468583599574,11,AIforCovid,Brixia
5,Top 13,0.128887796619426,13,AIforCovid,Brixia
6,Top 15,0.124030630356509,15,AIforCovid,Brixia
7,Top 17,0.1231911294869385,17,AIforCovid,Brixia
8,Top 19,0.12505028990652,19,AIforCovid,Brixia
0,Top 3,0.02898550724637681,3,COVIDX,COVIDX
1,Top 5,0.03043478260869565,5,COVIDX,COVIDX
2,Top 7,0.03260869565217391,7,COVIDX,COVIDX
3,Top 9,0.03502415458937198,9,COVIDX,COVIDX
4,Top 11,0.03675889328063241,11,COVIDX,COVIDX
5,Top 13,0.03762541806020067,13,COVIDX,COVIDX
6,Top 15,0.03778467908902693,15,COVIDX,COVIDX
7,Top 17,0.04179987212276215,17,COVIDX,COVIDX
8,Top 19,0.04449529621154333,19,COVIDX,COVIDX
0,Top 3,0.08219676304782687,3,COVIDX,AIforCovid
1,Top 5,0.07779596290234587,5,COVIDX,AIforCovid
2,Top 7,0.0767931831761619,7,COVIDX,AIforCovid
3,Top 9,0.07855973813420622,9,COVIDX,AIforCovid
4,Top 11,0.07556415215989686,11,COVIDX,AIforCovid
5,Top 13,0.0750346216794662,13,COVIDX,AIforCovid
6,Top 15,0.07860130413321904,15,COVIDX,AIforCovid
7,Top 17,0.07699528256474439,17,COVIDX,AIforCovid
8,Top 19,0.0812587934648405,19,COVIDX,AIforCovid
0,Top 3,0.08093716719914802,3,COVIDX,Brixia
1,Top 5,0.1266453674121406,5,COVIDX,Brixia
2,Top 7,0.1132917490744967,7,COVIDX,Brixia
3,Top 9,0.1178558750443734,9,COVIDX,Brixia
4,Top 11,0.10744118501307,11,COVIDX,Brixia
5,Top 13,0.1065672701455449,13,COVIDX,Brixia
6,Top 15,0.1195841574116335,15,COVIDX,Brixia
7,Top 17,0.1245223328948193,17,COVIDX,Brixia
8,Top 19,0.1341529186829339,19,COVIDX,Brixia
