,model,mean Double-fault,K,Train,Test
0,Top 3,0.009107468123861567,3,AIforCovid,AIforCovid
1,Top 5,0.009289617486338797,5,AIforCovid,AIforCovid
2,Top 7,0.0117096018735363,7,AIforCovid,AIforCovid
3,Top 9,0.01381299332119005,9,AIforCovid,AIforCovid
4,Top 11,0.01539990064580229,11,AIforCovid,AIforCovid
5,Top 13,0.01702395964691048,13,AIforCovid,AIforCovid
6,Top 15,0.01894353369763208,15,AIforCovid,AIforCovid
7,Top 17,0.02081324333011893,17,AIforCovid,AIforCovid
8,Top 19,0.02313616463745884,19,AIforCovid,AIforCovid
0,Top 3,0.1354222942553575,3,AIforCovid,COVIDX
1,Top 5,0.1309022150189087,5,AIforCovid,COVIDX
2,Top 7,0.1340073576702426,7,AIforCovid,COVIDX
3,Top 9,0.1356173839966384,9,AIforCovid,COVIDX
4,Top 11,0.1372722361377143,11,AIforCovid,COVIDX
5,Top 13,0.1401252268351134,13,AIforCovid,COVIDX
6,Top 15,0.1432893416685961,15,AIforCovid,COVIDX
7,Top 17,0.1443059395557251,17,AIforCovid,COVIDX
8,Top 19,0.1470013048107393,19,AIforCovid,COVIDX
0,Top 3,0.03656372026979055,3,AIforCovid,Brixia
1,Top 5,0.03320553780617679,5,AIforCovid,Brixia
2,Top 7,0.03927176834525077,7,AIforCovid,Brixia
3,Top 9,0.04528458170630693,9,AIforCovid,Brixia
4,Top 11,0.04649433633459191,11,AIforCovid,Brixia
5,Top 13,0.05332459517763032,13,AIforCovid,Brixia
6,Top 15,0.05312845478979666,15,AIforCovid,Brixia
7,Top 17,0.05451043037023117,17,AIforCovid,Brixia
8,Top 19,0.05984467736611673,19,AIforCovid,Brixia
0,Top 3,0.05072463768115942,3,COVIDX,COVIDX
1,Top 5,0.05217391304347826,5,COVIDX,COVIDX
2,Top 7,0.05201863354037268,7,COVIDX,COVIDX
3,Top 9,0.05193236714975847,9,COVIDX,COVIDX
4,Top 11,0.05326086956521738,11,COVIDX,COVIDX
5,Top 13,0.05434782608695654,13,COVIDX,COVIDX
6,Top 15,0.05538302277432712,15,COVIDX,COVIDX
7,Top 17,0.05486732736572888,17,COVIDX,COVIDX
8,Top 19,0.0552695143656242,19,COVIDX,COVIDX
0,Top 3,0.0669212584106201,3,COVIDX,AIforCovid
1,Top 5,0.06977632296781235,5,COVIDX,AIforCovid
2,Top 7,0.07016860208349569,7,COVIDX,AIforCovid
3,Top 9,0.07328605200945626,9,COVIDX,AIforCovid
4,Top 11,0.07117988394584138,11,COVIDX,AIforCovid
5,Top 13,0.07167736791304712,13,COVIDX,AIforCovid
6,Top 15,0.07377445249785676,15,COVIDX,AIforCovid
7,Top 17,0.07189676197811369,17,COVIDX,AIforCovid
8,Top 19,0.07408045481953654,19,COVIDX,AIforCovid
0,Top 3,0.06418175363862265,3,COVIDX,Brixia
1,Top 5,0.06123535676251331,5,COVIDX,Brixia
2,Top 7,0.06244738577006947,7,COVIDX,Brixia
3,Top 9,0.0656017039403621,9,COVIDX,Brixia
4,Top 11,0.06216671507406332,11,COVIDX,Brixia
5,Top 13,0.06196171595532617,13,COVIDX,Brixia
6,Top 15,0.06402758760586237,15,COVIDX,Brixia
7,Top 17,0.06538401303013217,17,COVIDX,Brixia
8,Top 19,0.06881278453499744,19,COVIDX,Brixia
