,model,mean Q,K,Train,Test
0,Top 3,0.9370164541789255,3,AIforCovid,AIforCovid
1,Top 5,0.8957873770738414,5,AIforCovid,AIforCovid
2,Top 7,0.9118450706730334,7,AIforCovid,AIforCovid
3,Top 9,0.9191620290800281,9,AIforCovid,AIforCovid
4,Top 11,0.9255796877318258,11,AIforCovid,AIforCovid
5,Top 13,0.9290945072007833,13,AIforCovid,AIforCovid
6,Top 15,0.9277028648533147,15,AIforCovid,AIforCovid
7,Top 17,0.9294508829597272,17,AIforCovid,AIforCovid
8,Top 19,0.9326603338270534,19,AIforCovid,AIforCovid
0,Top 3,0.9802604197371051,3,AIforCovid,COVIDX
1,Top 5,0.9813410621309097,5,AIforCovid,COVIDX
2,Top 7,0.9784367453634676,7,AIforCovid,COVIDX
3,Top 9,0.9785928151690264,9,AIforCovid,COVIDX
4,Top 11,0.979976581109939,11,AIforCovid,COVIDX
5,Top 13,0.9808803012974472,13,AIforCovid,COVIDX
6,Top 15,0.9796457561398035,15,AIforCovid,COVIDX
7,Top 17,0.9795670633963679,17,AIforCovid,COVIDX
8,Top 19,0.9798521103503355,19,AIforCovid,COVIDX
0,Top 3,0.951884974047205,3,AIforCovid,Brixia
1,Top 5,0.9553113691495482,5,AIforCovid,Brixia
2,Top 7,0.9434194347575294,7,AIforCovid,Brixia
3,Top 9,0.9328835421271849,9,AIforCovid,Brixia
4,Top 11,0.9342438962080193,11,AIforCovid,Brixia
5,Top 13,0.9329346981077151,13,AIforCovid,Brixia
6,Top 15,0.9316097667666394,15,AIforCovid,Brixia
7,Top 17,0.9325274931657626,17,AIforCovid,Brixia
8,Top 19,0.9329937096603909,19,AIforCovid,Brixia
0,Top 3,0.9915492241712633,3,COVIDX,COVIDX
1,Top 5,0.9898614941472186,5,COVIDX,COVIDX
2,Top 7,0.9876909371140002,7,COVIDX,COVIDX
3,Top 9,0.9860257260278829,9,COVIDX,COVIDX
4,Top 11,0.985233252111032,11,COVIDX,COVIDX
5,Top 13,0.9849152539539648,13,COVIDX,COVIDX
6,Top 15,0.984939327907175,15,COVIDX,COVIDX
7,Top 17,0.9807564199834736,17,COVIDX,COVIDX
8,Top 19,0.9785914954937727,19,COVIDX,COVIDX
0,Top 3,0.9485896956596318,3,COVIDX,AIforCovid
1,Top 5,0.9541732903240391,5,COVIDX,AIforCovid
2,Top 7,0.9562101912705909,7,COVIDX,AIforCovid
3,Top 9,0.9560791141589257,9,COVIDX,AIforCovid
4,Top 11,0.959083529500304,11,COVIDX,AIforCovid
5,Top 13,0.9596372005804369,13,COVIDX,AIforCovid
6,Top 15,0.9583187990922509,15,COVIDX,AIforCovid
7,Top 17,0.95938711879588,17,COVIDX,AIforCovid
8,Top 19,0.9576806260005235,19,COVIDX,AIforCovid
0,Top 3,0.9635301705474077,3,COVIDX,Brixia
1,Top 5,0.8658210879682541,5,COVIDX,Brixia
2,Top 7,0.8914803899691908,7,COVIDX,Brixia
3,Top 9,0.8842036097128328,9,COVIDX,Brixia
4,Top 11,0.9035369462516135,11,COVIDX,Brixia
5,Top 13,0.9042202763962593,13,COVIDX,Brixia
6,Top 15,0.8861423567775555,15,COVIDX,Brixia
7,Top 17,0.8824827913885998,17,COVIDX,Brixia
8,Top 19,0.8739132290917202,19,COVIDX,Brixia
