,model,mean Disagreement,K,Train,Test
0,Top 3,0.04711425206124853,3,AIforCovid,AIforCovid
1,Top 5,0.04664310954063604,5,AIforCovid,AIforCovid
2,Top 7,0.04341241797072185,7,AIforCovid,AIforCovid
3,Top 9,0.04279544562230076,9,AIforCovid,AIforCovid
4,Top 11,0.0442017346610986,11,AIforCovid,AIforCovid
5,Top 13,0.04448672646552501,13,AIforCovid,AIforCovid
6,Top 15,0.04677772168938248,15,AIforCovid,AIforCovid
7,Top 17,0.04978175015589281,17,AIforCovid,AIforCovid
8,Top 19,0.0530655260058274,19,AIforCovid,AIforCovid
0,Top 3,0.09544390419593013,3,AIforCovid,COVIDX
1,Top 5,0.08676391139924365,5,AIforCovid,COVIDX
2,Top 7,0.08294101000746057,7,AIforCovid,COVIDX
3,Top 9,0.08010684915060928,9,AIforCovid,COVIDX
4,Top 11,0.07773684986002655,11,AIforCovid,COVIDX
5,Top 13,0.0779066062696533,13,AIforCovid,COVIDX
6,Top 15,0.08057420699235937,15,AIforCovid,COVIDX
7,Top 17,0.07872533129945658,17,AIforCovid,COVIDX
8,Top 19,0.08158700370591525,19,AIforCovid,COVIDX
0,Top 3,0.1282215122470713,3,AIforCovid,Brixia
1,Top 5,0.1203407880724175,5,AIforCovid,Brixia
2,Top 7,0.1210406207211319,7,AIforCovid,Brixia
3,Top 9,0.1409537332860016,9,AIforCovid,Brixia
4,Top 11,0.1362455223158099,11,AIforCovid,Brixia
5,Top 13,0.1284672728762186,13,AIforCovid,Brixia
6,Top 15,0.1374674172118262,15,AIforCovid,Brixia
7,Top 17,0.1326097851281088,17,AIforCovid,Brixia
8,Top 19,0.1344767669973656,19,AIforCovid,Brixia
0,Top 3,0.0692167577413479,3,COVIDX,COVIDX
1,Top 5,0.06994535519125682,5,COVIDX,COVIDX
2,Top 7,0.06817590424147801,7,COVIDX,COVIDX
3,Top 9,0.06709168184578021,9,COVIDX,COVIDX
4,Top 11,0.06795827123695974,11,COVIDX,COVIDX
5,Top 13,0.06809583858764184,13,COVIDX,COVIDX
6,Top 15,0.06890450169138691,15,COVIDX,COVIDX
7,Top 17,0.06894889103182253,17,COVIDX,COVIDX
8,Top 19,0.06979196625443387,19,COVIDX,COVIDX
0,Top 3,0.09130485939522295,3,COVIDX,AIforCovid
1,Top 5,0.09135192375573598,5,COVIDX,AIforCovid
2,Top 7,0.08955675457616863,7,COVIDX,AIforCovid
3,Top 9,0.08706906694905284,9,COVIDX,AIforCovid
4,Top 11,0.08657703045278053,11,COVIDX,AIforCovid
5,Top 13,0.09086136830577353,13,COVIDX,AIforCovid
6,Top 15,0.09035684870488964,15,COVIDX,AIforCovid
7,Top 17,0.08930981499553581,17,COVIDX,AIforCovid
8,Top 19,0.09297275427656093,19,COVIDX,AIforCovid
0,Top 3,0.1030883919062833,3,COVIDX,Brixia
1,Top 5,0.1044515441959531,5,COVIDX,Brixia
2,Top 7,0.1144479943201988,7,COVIDX,Brixia
3,Top 9,0.1064726067920956,9,COVIDX,Brixia
4,Top 11,0.1232723400135541,11,COVIDX,Brixia
5,Top 13,0.1195325086698888,13,COVIDX,Brixia
6,Top 15,0.1151985394796896,15,COVIDX,Brixia
7,Top 17,0.1092087953392219,17,COVIDX,Brixia
8,Top 19,0.1129259072423692,19,COVIDX,Brixia
