,model,mean Double-fault,K,Train,Test
0,Top 3,0.03886925795053003,3,AIforCovid,AIforCovid
1,Top 5,0.04169611307420495,5,AIforCovid,AIforCovid
2,Top 7,0.04492680464411913,7,AIforCovid,AIforCovid
3,Top 9,0.04691794267765998,9,AIforCovid,AIforCovid
4,Top 11,0.04824927722454223,11,AIforCovid,AIforCovid
5,Top 13,0.04978707982241548,13,AIforCovid,AIforCovid
6,Top 15,0.05081608615177523,15,AIforCovid,AIforCovid
7,Top 17,0.05139264186239875,17,AIforCovid,AIforCovid
8,Top 19,0.05325150331659551,19,AIforCovid,AIforCovid
0,Top 3,0.1698181163335134,3,AIforCovid,COVIDX
1,Top 5,0.1710967044840627,5,AIforCovid,COVIDX
2,Top 7,0.1771757865761107,7,AIforCovid,COVIDX
3,Top 9,0.1782069752085959,9,AIforCovid,COVIDX
4,Top 11,0.1805706988851235,11,AIforCovid,COVIDX
5,Top 13,0.1841277756998989,13,AIforCovid,COVIDX
6,Top 15,0.1882020014921149,15,AIforCovid,COVIDX
7,Top 17,0.1880184002288111,17,AIforCovid,COVIDX
8,Top 19,0.1908878083918601,19,AIforCovid,COVIDX
0,Top 3,0.05232516861909833,3,AIforCovid,Brixia
1,Top 5,0.06447284345047924,5,AIforCovid,Brixia
2,Top 7,0.06569298645975961,7,AIforCovid,Brixia
3,Top 9,0.07258312625724767,9,AIforCovid,Brixia
4,Top 11,0.0714454448639752,11,AIforCovid,Brixia
5,Top 13,0.06857540755304332,13,AIforCovid,Brixia
6,Top 15,0.07665500278918813,15,AIforCovid,Brixia
7,Top 17,0.07462099855916805,17,AIforCovid,Brixia
8,Top 19,0.07632980214113554,19,AIforCovid,Brixia
0,Top 3,0.04553734061930782,3,COVIDX,COVIDX
1,Top 5,0.04918032786885247,5,COVIDX,COVIDX
2,Top 7,0.05412438199323445,7,COVIDX,COVIDX
3,Top 9,0.05752884031572558,9,COVIDX,COVIDX
4,Top 11,0.05941381023348236,11,COVIDX,COVIDX
5,Top 13,0.06179066834804538,13,COVIDX,COVIDX
6,Top 15,0.06354410616705697,15,COVIDX,COVIDX
7,Top 17,0.06581485053037608,17,COVIDX,COVIDX
8,Top 19,0.0677787364586329,19,COVIDX,COVIDX
0,Top 3,0.08471584892340275,3,COVIDX,AIforCovid
1,Top 5,0.08683374514648784,5,COVIDX,AIforCovid
2,Top 7,0.08350562251021128,7,COVIDX,AIforCovid
3,Top 9,0.08267639330117268,9,COVIDX,AIforCovid
4,Top 11,0.08243750601675064,11,COVIDX,AIforCovid
5,Top 13,0.08449410337867805,13,COVIDX,AIforCovid
6,Top 15,0.08398971307548792,15,COVIDX,AIforCovid
7,Top 17,0.08351934137580205,17,COVIDX,AIforCovid
8,Top 19,0.08606791717498244,19,COVIDX,AIforCovid
0,Top 3,0.05566205182818601,3,COVIDX,Brixia
1,Top 5,0.0661128860489883,5,COVIDX,Brixia
2,Top 7,0.06749835184339976,7,COVIDX,Brixia
3,Top 9,0.06367293811383269,9,COVIDX,Brixia
4,Top 11,0.06331300222674024,11,COVIDX,Brixia
5,Top 13,0.06444116763605583,13,COVIDX,Brixia
6,Top 15,0.06333789745930318,15,COVIDX,Brixia
7,Top 17,0.0628547265551588,17,COVIDX,Brixia
8,Top 19,0.06486432623980967,19,COVIDX,Brixia
